Date,SO2,CO,PM_10,NO2
8/11/1993,5.796281395,0.777312808,32.87878788,13.6416666
8/12/1993,6.828771974,0.794034423,21,13.5492424
8/13/1993,3.658966475,0.850076654,20,9.9166668
8/14/1993,1.67771935,0.619391,17,7.125
8/15/1993,3.298576225,0.445268538,17,6.0583332
8/16/1993,3.805960525,0.746158923,22,10.3240268
8/17/1993,3.48842295,0.883005923,44.17142857,14.5916666
8/18/1993,6.497021825,0.962528615,58,13.4416666
8/19/1993,3.11996375,0.789281769,37,9.3184652
8/20/1993,2.7440793,0.763621769,35,10.9583334
8/21/1993,1.65321815,0.520192346,21,8.9916666
8/22/1993,1.9178144,0.436542731,22,7.6348484
8/23/1993,4.191567875,0.673654269,36.25714286,7.2923808
8/24/1993,6.32445985,0.8176805,30,12.175
8/25/1993,7.9850409,0.895473077,22,16.1717092
8/26/1993,5.8697837,0.734439615,21,9.918538
8/27/1993,6.4818666,0.932852577,16,11.3916668
8/28/1993,4.49018375,0.713782038,14,9.7249998
8/29/1993,4.21336235,0.571710923,22.17647059,8.2499998
8/30/1993,4.658772125,0.825544846,14,11.8507764
8/31/1993,5.0730389,0.756765577,19.5,10.317857
9/1/1993,3.877006375,0.644652286,22,11.3604556
9/2/1993,2.938755825,0.746151464,18,14.0555006
9/3/1993,4.1315261,0.851249321,19,11.8916666
9/4/1993,6.065108125,0.727827357,24.51428571,14.3416668
9/5/1993,6.39200855,0.681696429,24.5,10.1000002
9/6/1993,7.131150975,0.577014615,13,12.917857
9/7/1993,5.9828639,0.931730731,15,12.557143
9/8/1993,5.7338109,0.841380885,17,12.7023812
9/9/1993,1.73114485,0.735438231,14,12.7367788
9/10/1993,2.683219395,0.816185846,30.05714286,13.7333332
9/11/1993,4.136804289,0.682532,29,13.1666666
9/12/1993,6.029658568,0.581311077,13,11.2583332
9/13/1993,5.009322184,0.776085731,19,9.1152778
9/14/1993,3.349248711,0.82879763,19,9.3721014
9/15/1993,3.6515867,0.931325286,21,12.0809526
9/16/1993,4.71284495,0.866087857,21.44117647,9.0102816
9/17/1993,5.674108526,0.855114071,26,8.3333332
9/18/1993,6.613269553,0.647470286,18,9.3416666
9/19/1993,6.256298605,0.58257637,14,7.9083334
9/20/1993,4.563441816,0.799128074,20.5,10.4305556
9/21/1993,7.695200921,0.792211464,18,10.177174
9/22/1993,5.907402368,0.915497393,28.14285714,13.9454546
9/23/1993,5.849541098,0.916977885,41.5,12.990909
9/24/1993,5.29345769,0.999839536,41,13.4483334
9/25/1993,4.80467981,0.751934429,24,12.1249998
9/26/1993,2.570319825,0.566651821,13,6.1916666
9/27/1993,4.706848333,0.721771464,17,7.8
9/28/1993,4.997515095,0.970709107,27.88888889,16.2583334
9/29/1993,6.589873524,0.821590286,33,19.2745238
9/30/1993,5.835407286,0.819726321,33,18.4100002
10/1/1993,4.8337157,0.922491267,30,19.4166666
10/2/1993,3.7735928,0.7298611,27,15.1916666
10/3/1993,5.637552625,0.677098967,23,14.5466666
10/4/1993,5.671048825,0.909233033,31.36111111,16.5916668
10/5/1993,6.044691375,0.9425237,26,20.8380954
10/6/1993,4.933169025,0.792527733,16,19.7583332
10/7/1993,3.814069975,0.861149033,22,13.999567
10/8/1993,6.5727336,0.925229467,19,15.3416668
10/9/1993,3.246305675,0.70875,14,11.225
10/10/1993,6.677555026,0.5716678,16.83870968,5.4452382
10/11/1993,4.099592684,0.926775367,25,12.1901108
10/12/1993,4.036969079,0.924891167,25,15.409058
10/13/1993,3.345086158,1.0202777,29,18.7815152
10/14/1993,4.745284526,1.0276832,26,13.3719776
10/15/1993,5.699558921,0.996130893,18,13.8833334
10/16/1993,3.392203447,0.666815393,13.33333333,10.725
10/17/1993,1.012318211,0.607057786,9,9.825
10/18/1993,8.858413053,1.001740821,23,14.984386
10/19/1993,7.096733684,0.9241967,23,12.2684212
10/20/1993,5.797343658,0.8776335,21,9.05
10/21/1993,5.433455816,0.9065258,21,10.6354776
10/22/1993,4.518158842,0.947282667,20.88235294,12.0666666
10/23/1993,3.831115816,0.684166667,23,9.9766666
10/24/1993,6.645638684,0.605348667,23,8.6535714
10/25/1993,5.3601458,0.794290067,20,12.4492856
10/26/1993,5.074789475,1.033764267,29,15.7247198
10/27/1993,3.2240639,0.887548333,28,11.7541666
10/28/1993,5.530418025,0.9505413,28.84375,17.2252164
10/29/1993,3.187773775,1.081616233,30,18.947826
10/30/1993,3.656526225,0.3811111,25,2.6761906
10/31/1993,4.070405462,0.3690465,17,2.9833334
11/1/1993,4.082824763,0.811013517,18,15.8721062
11/2/1993,2.7924385,0.908223179,23,18.3369048
11/3/1993,4.631755125,0.955172067,26.82857143,19.8335048
11/4/1993,3.5163885,1.1148078,31,17.5784916
11/5/1993,1.295810675,0.9128787,24,7.6145454
11/6/1993,4.8655558,0.545244767,19,5.175
11/7/1993,5.967753275,0.53432425,20,10.7143938
11/8/1993,4.62040115,1.007001167,29,20.5547618
11/9/1993,6.413887825,0.8958573,25.22857143,13.004935
11/10/1993,4.315416237,0.853060367,29,11.9349034
11/11/1993,4.134145947,0.824318167,22,19.4007576
11/12/1993,6.153927368,0.953472233,26,20.1083332
11/13/1993,8.474392553,0.741249967,20,8.4916668
