#title = mean sea level anomaly Gulf of Mexico (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (https://www.star.nesdis.noaa.gov/socd/lsa/RADS.php) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 4.68 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3,Sentinel-6MF
2001.78160,9.14000,,,,
2001.80880,3.69000,,,,
2001.83600,29.22000,,,,
2001.86300,24.46000,,,,
2001.89190,-3.89000,,,,
2001.91750,17.59000,,,,
2001.95650,34.86000,,,,
2001.97100,38.73000,,,,
2001.99910,35.72000,,,,
2002.02490,10.19000,,,,
2002.05320,-2.48000,9.52000,,,
2002.08040,2.88000,,,,
2002.08160,,15.56000,,,
2002.10700,44.63000,,,,
2002.10710,,55.89000,,,
2002.13440,37.61000,,,,
2002.13460,,43.80000,,,
2002.16160,21.81000,,,,
2002.16200,,35.36000,,,
2002.18900,1.12000,,,,
2002.18910,,9.23000,,,
2002.21600,,14.94000,,,
2002.21610,-6.83000,,,,
2002.24310,-1.38000,11.97000,,,
2002.27020,,30.83000,,,
2002.27040,20.49000,,,,
2002.29750,,18.32000,,,
2002.29770,3.97000,,,,
2002.32450,21.54000,,,,
2002.32470,,32.21000,,,
2002.35190,,35.14000,,,
2002.35200,22.19000,,,,
2002.37890,,26.16000,,,
2002.37920,18.13000,,,,
2002.40610,35.89000,,,,
2002.40620,,40.15000,,,
2002.43360,51.13000,48.72000,,,
2002.46030,39.66000,,,,
2002.46060,,27.14000,,,
2002.48760,16.46000,,,,
2002.48770,,4.75000,,,
2002.51470,,-7.79000,,,
2002.54140,,0.13000,,,
2002.54170,7.84000,,,,
2002.56910,14.36000,,,,
2002.56920,,2.34000,,,
2002.59600,,19.76000,,,
2002.59610,24.68000,,,,
2002.62310,,23.96000,,,
2002.62320,26.04000,,,,
2002.65010,,20.81000,,,
2002.65450,7.58000,,,,
2002.67690,55.38000,,,,
2002.67800,,38.43000,,,
2002.70510,,41.50000,,,
2002.70620,64.61000,,,,
2002.73210,,55.88000,,,
2002.73230,67.18000,,,,
2002.75890,40.08000,34.64000,,,
2002.78640,56.95000,53.34000,,,
2002.81280,20.41000,,,,
2002.81330,,39.25000,,,
2002.84040,,27.23000,,,
2002.84090,8.28000,,,,
2002.86700,-10.55000,,,,
2002.86760,,7.07000,,,
2002.89250,,-20.82000,,,
2002.89470,-49.40000,,,,
2002.92180,-4.51000,,,,
2002.92190,,-10.01000,,,
2002.94780,0.94000,,,,
2002.94860,,2.36000,,,
2002.97630,-21.78000,,,,
2002.97640,,-11.83000,,,
2003.00320,,5.10000,,,
2003.00350,-18.08000,,,,
2003.02940,15.27000,,,,
2003.03080,,-0.55000,,,
2003.05700,,11.51000,,,
2003.05780,12.33000,,,,
2003.08460,-1.90000,,,,
2003.08500,,23.95000,,,
2003.11100,7.07000,,,,
2003.11210,,43.84000,,,
2003.13940,,32.44000,,,
2003.14110,-14.50000,,,,
2003.16620,,30.51000,,,
2003.16750,12.56000,,,,
2003.19320,21.10000,,,,
2003.19330,,39.39000,,,
2003.22050,21.80000,,,,
2003.22080,,33.78000,,,
2003.24670,15.37000,,,,
2003.24770,,20.79000,,,
2003.27620,10.62000,,,,
2003.27870,,-4.69000,,,
2003.30200,,9.00000,,,
2003.30210,1.74000,,,,
2003.32920,,49.62000,,,
2003.32950,27.97000,,,,
2003.35640,,30.50000,,,
2003.35770,28.48000,,,,
2003.38350,,4.13000,,,
2003.38460,3.32000,,,,
2003.41050,11.85000,,,,
2003.41080,,4.51000,,,
2003.43790,19.40000,,,,
2003.43800,,-1.30000,,,
2003.46490,,-0.04000,,,
2003.46610,24.94000,,,,
2003.49180,,43.90000,,,
2003.49260,55.39000,,,,
2003.51890,,29.61000,,,
2003.54580,48.02000,,,,
2003.54600,,44.27000,,,
2003.57330,,4.04000,,,
2003.58190,-13.66000,,,,
2003.60070,,-8.79000,,,
2003.60080,8.61000,,,,
2003.62770,25.90000,,,,
2003.62780,,7.54000,,,
2003.65490,,13.78000,,,
2003.65500,47.27000,,,,
2003.68260,,16.62000,,,
2003.68270,20.94000,,,,
2003.70930,,33.21000,,,
2003.70990,20.46000,,,,
2003.73630,,49.80000,,,
2003.73670,37.09000,,,,
2003.76350,42.94000,,,,
2003.76370,,62.33000,,,
2003.79080,,42.36000,,,
2003.79270,8.24000,,,,
2003.81780,,54.41000,,,
2003.81860,17.24000,,,,
2003.84500,,54.63000,,,
2003.84510,25.39000,,,,
2003.87080,,63.15000,,,
2003.87130,57.14000,,,,
2003.91110,,24.32000,,,
2003.91130,50.73000,,,,
2003.92040,6.98000,,,,
2003.92630,,17.00000,,,
2003.95260,14.77000,,,,
2003.95370,,16.70000,,,
2003.98000,11.67000,,,,
2003.98070,,6.04000,,,
2004.00800,,22.39000,,,
2004.00870,31.65000,,,,
2004.03490,,37.77000,,,
2004.03550,33.19000,,,,
2004.06110,2.99000,,,,
2004.06180,,16.87000,,,
2004.08920,-0.19000,,,,
2004.08950,,28.73000,,,
2004.11260,,34.29000,,,
2004.11820,-19.26000,,,,
2004.14440,10.59000,,,,
2004.14810,,14.09000,,,
2004.17080,,9.59000,,,
2004.17090,11.11000,,,,
2004.19760,,5.09000,,,
2004.19790,6.39000,,,,
2004.22500,41.50000,37.19000,,,
2004.24960,,1.88000,,,
2004.25330,-5.72000,,,,
2004.27920,,16.29000,,,
2004.27950,-22.32000,,,,
2004.30650,-24.78000,-11.02000,,,
2004.33370,,17.34000,,,
2004.33490,22.18000,,,,
2004.36080,,24.68000,,,
2004.36160,23.05000,,,,
2004.38690,28.75000,,,,
2004.38790,,40.34000,,,
2004.41510,,13.24000,,,
2004.44210,,10.92000,,,
2004.46940,,41.91000,,,
2004.46970,35.91000,,,,
2004.49610,,17.18000,,,
2004.49630,24.23000,,,,
2004.52090,22.60000,,,,
2004.52340,,-1.90000,,,
2004.55060,,-6.00000,,,
2004.55340,31.59000,,,,
2004.57710,7.62000,,,,
2004.57830,,-16.27000,,,
2004.60510,-2.60000,,,,
2004.60530,,-3.71000,,,
2004.63220,0.65000,,,,
2004.63240,,8.46000,,,
2004.65900,,-34.09000,,,
2004.65970,-36.56000,,,,
2004.68690,,-31.26000,,,
2004.68700,-1.49000,,,,
2004.71380,,2.33000,,,
2004.71390,50.27000,,,,
2004.74080,,8.76000,,,
2004.74200,18.36000,,,,
2004.76770,17.81000,,,,
2004.76790,,33.89000,,,
2004.79510,27.12000,,,,
2004.79530,,22.27000,,,
2004.82240,,28.49000,,,
2004.82250,19.23000,,,,
2004.84940,,33.63000,,,
2004.84950,14.95000,,,,
2004.87650,,66.85000,,,
2004.87770,49.83000,,,,
2004.90240,,44.85000,,,
2004.90320,32.06000,,,,
2004.93110,,17.25000,,,
2004.93180,7.87000,,,,
2004.95300,13.60000,,,,
2004.95930,,19.02000,,,
2004.98510,,39.04000,,,
2004.98530,45.07000,,,,
2005.01230,45.16000,,,,
2005.01240,,46.72000,,,
2005.03960,,67.16000,,,
2005.04020,48.96000,,,,
2005.06670,,73.37000,,,
2005.06760,48.54000,,,,
2005.09320,75.04000,,,,
2005.09390,,96.20000,,,
2005.12050,,100.51000,,,
2005.12090,70.57000,,,,
2005.14800,,60.09000,,,
2005.14810,34.73000,,,,
2005.17410,14.95000,,,,
2005.17490,,29.25000,,,
2005.20040,-3.31000,,,,
2005.20260,,2.15000,,,
2005.22900,,36.32000,,,
2005.23010,21.68000,,,,
2005.25600,25.50000,,,,
2005.25650,,38.58000,,,
2005.28400,16.15000,33.00000,,,
2005.31070,20.66000,,,,
2005.31090,,27.29000,,,
2005.33830,,31.34000,,,
2005.33870,28.48000,,,,
2005.36360,25.48000,,,,
2005.36510,,12.99000,,,
2005.39230,,3.15000,,,
2005.39340,14.96000,,,,
2005.41970,47.69000,,,,
