,SO2,CO,PM_10,NO2,TOPEX/Poseidon
74,3.318063846,0.569854625,30.77777778,10.15029763,-48.676528132521725
75,4.059708188,0.59957825,19.32352941,6.956228778,9.579918864292871
76,4.100791458,0.540319167,24.0,7.607936444,2.1062937714409644
77,1.847316391,0.547308,18.0,5.514863556,-0.6985061895016433
78,2.9743137,0.541477318,23.0,4.511904857,12.82
79,4.745170208,0.5694785,32.0,13.0258475,42.12145875243779
80,4.851161292,0.826728545,26.0,11.57696011,124.93149043512588
81,2.13388006,0.667183273,25.0,8.960978778,74.31509148328037
82,5.85856194,0.735031667,29.0,13.34393944,63.53601422978187
83,1.759650271,1.130555542,25.0,16.57628833,-28.438056960194658
84,3.880513563,0.663083958,15.42105263,15.9600155,-40.973184852452654
85,3.613063917,0.838119042,29.0,13.8320653,-31.550142985602676
86,3.7628256,0.696022682,27.02631579,8.7787879,-16.6102969075429
87,2.160801979,0.666959273,30.0,9.7339285,-4.21089997475523
88,2.58794488,0.644989682,27.5,8.7513883,8.182448548052982
89,1.332302042,0.740048227,18.5,6.132197,11.425247478011734
90,2.40118026,0.780881955,23.0,8.435417182,26.144850348308978
91,2.20404036,0.706890818,23.5,10.81923745,33.52
92,2.535913229,0.556818273,13.5,12.5333333,49.59281557117573
93,3.87714656,0.930607636,29.0,14.4397729,72.14912893161747
94,4.08569898,0.817036364,19.0,17.4451842,11.804781525035237
95,7.598582065,0.470316727,9.5,13.0761905,-43.71944790911964
96,1.549714792,0.716270682,20.28947368,11.1059524,-67.96296373031667
97,1.94701258,0.781656636,23.66666667,7.5257136,-74.18118417073302
98,2.948298917,0.670643955,20.75,8.537878818,-68.8267098921926
99,2.28003558,0.640749045,32.2,7.391535,-37.19497714433028
100,3.05024738,0.67760955,23.34285714,5.946473,-33.88933654960275
101,2.202430563,0.63812495,16.68421053,7.113636545,-12.58926662522757
102,1.232780891,0.7744837,27.0,9.039443273,24.84040405245997
103,1.967799238,0.731018389,23.75,7.496212273,47.68458420502472
104,2.300030591,0.42002715,24.75,7.810290333,84.30372746611394
105,2.212316659,0.6814582,22.75,13.36661742,92.39266435293186
106,2.829725261,0.87333335,27.0,11.32542833,41.935975268510035
107,3.525333674,0.7096925,21.25,11.69049708,11.559782487917468
108,2.898544771,0.7119746,23.75,7.246693167,-41.032247949753035
109,3.908121417,0.4849555,17.75,15.70032175,-32.58
110,1.745790587,0.3097916,26.0,4.482638833,-37.34523242863567
111,2.146860438,0.54342395,59.2,4.065994917,-4.701793892845552
112,3.496351478,0.56621375,25.0,9.638528182,20.783654141923986
113,2.15508975,0.42276825,27.6,4.667613583,1.0795353289976872
114,2.949002239,0.6835054,33.52941176,6.5889224,35.075763599329235
115,2.817060478,0.5382575,28.75,7.303030273,81.20315626574423
116,1.743685848,0.6466667,19.0,7.5059524,121.70957071391798
117,1.962771391,0.67355975,18.5,9.7260426,74.45035640841981
118,2.835145159,0.864204591,23.0,12.25000008,11.917502520620282
119,2.486671022,0.662689318,23.0,5.419082083,-42.412987182742796
120,3.313380478,0.911673545,29.33333333,15.01041667,-53.38868210951026
121,1.968073087,0.7816575,17.5,8.959120167,-47.81705200875615
122,2.902605152,0.477198591,17.16666667,8.609126917,-25.98
123,2.456432283,0.645877818,25.85714286,8.369263167,-0.78
124,1.600199977,0.445625,33.28571429,2.912878818,-6.794333399178475
125,2.403924217,0.488908182,36.375,5.275183308,51.440389455217414
126,1.599750261,0.703288591,25.28571429,6.217074538,2.02
127,3.398797109,0.493912318,17.96969697,2.770021833,90.70648545376596
128,2.296475826,0.7085327,22.4516129,9.307669083,117.48218930410683
129,1.512853565,0.5822575,24.77777778,7.93402775,86.32151526467324
130,2.187689364,0.64160335,16.88888889,11.16636908,54.559216641413215
131,2.855176432,0.868297,35.125,15.10574492,3.2998590625702446
132,3.074379333,0.66520835,14.375,11.44696982,-50.86660646467185
133,2.826249975,0.56125005,24.125,4.640025167,-39.90126757899769
134,1.215572413,0.5825453,25.83333333,8.388061154,-41.51302400496183
135,2.060104591,0.5723227,23.44444444,6.243059571,-9.343113641951383
136,0.832316739,0.40395835,25.625,2.683821286,16.93842421441718
137,1.598761413,0.69606875,22.375,7.454245071,13.272530457637307
138,2.63500937,0.5794167,19.375,5.584726923,17.36102729269717
139,2.164648935,0.76447695,20.22857143,7.573170214,20.477638024124534
140,2.900224357,0.8662681,36.87096774,12.12666067,88.07290859189457
141,2.022039565,0.6134963,19.66666667,4.733455357,76.70615083233865
142,1.485442435,0.826444722,21.33333333,9.701881,40.102951631497795
143,2.463037568,0.7141848,19.11111111,9.353260846,23.994963175938558
144,2.009903,0.61708595,17.88888889,10.28978221,15.808639463591717
145,0.613869761,0.520015722,18.75,7.861628643,-31.20894913104286
146,1.06235787,0.68819745,30.66666667,7.228260923,-14.355300610531815
147,1.486089522,0.4645833,27.0,3.4175725,-1.9530982802368593
148,1.225138957,0.58418475,15.0,6.280538214,20.033806961069907
149,0.552596457,0.564951167,18.88888889,4.669581857,18.97420212524505
150,1.410903659,0.3997282,29.0,5.2376835,27.42
151,1.404388225,0.5010485,24.625,7.217236417,73.41400499673877
152,2.064235262,0.614067389,20.44444444,6.541666556,121.50784080185383
153,1.440937095,0.5391856,27.2,7.878767615,79.34636113653318
154,2.470490674,0.70889905,20.51612903,10.81385271,14.695101214261996
155,1.432026063,0.85500005,24.33333333,9.967132571,-37.903493206561635
156,2.895280756,0.521396944,16.33333333,11.05009115,-39.872725226691074
157,1.633495795,0.667776333,28.0,8.294837083,-44.12527748380146
158,1.797743977,0.605424722,29.85714286,4.800167231,-37.84986557906722
159,1.150473477,0.579176667,30.75,5.226787071,-34.40487018855694
160,2.134287886,0.517129611,28.44444444,7.477146,-10.63955983548276
161,1.293240045,0.683011389,32.375,8.167572429,15.584055922429869
162,1.536429976,0.580871222,55.11111111,5.103213786,19.397227065252274
163,0.747994952,0.560178167,31.88888889,6.287378071,18.612881217498305
164,1.169638571,0.492361167,25.125,7.020484923,78.06
165,1.14799731,0.682407889,23.0,9.144737214,55.82453996110295
166,0.870475571,0.625181056,28.5,4.453595385,13.820497423155341
167,0.630623333,0.505029444,17.73076923,4.305671077,-15.920197758276382
168,2.7032334,0.595208333,20.88888889,11.47494185,-39.48786669798045
169,1.630652725,0.501010556,38.22222222,6.743691154,-55.62668505193353
170,1.249340025,0.437268556,23.38709677,4.154124846,-30.401975058014933
171,2.175062775,0.594621667,37.57575758,7.986499143,4.848994293787791
172,2.33482015,0.450592313,33.66666667,5.8005365,33.19937909037658
173,1.670140325,0.576388944,17.66666667,4.719621,30.81953368083187
174,0.8107716,0.462797056,20.66666667,4.270833429,34.81735159372272
175,0.968469175,0.442987056,26.88888889,4.395078583,43.746567566298005
176,1.1137759,0.480706556,22.22222222,3.422625357,131.83375905456418
177,0.819599725,0.475807111,21.44444444,8.332437571,77.84338722236646
178,1.581826895,0.565312778,21.0,10.41834893,39.88382980115523
179,1.004651111,0.591563667,20.0,8.363436429,14.048982552026866
180,0.843289194,0.443461875,28.03703704,5.831004071,-10.009803776887262
181,1.857024941,0.495694375,20.44444444,8.549145308,-35.54940741936788
182,1.319147528,0.394025,22.48148148,3.139492714,-60.24122762728669
183,1.484395882,0.4172206,31.60869565,6.292074615,-34.629569713317665
184,2.182007353,0.2716376,21.33333333,3.335144846,-4.878078994622307
185,1.024834794,0.325000125,32.75,5.659633077,40.98585339394117
186,0.454404406,0.2577501,21.57142857,2.996009462,45.836160438801976
187,1.907852615,0.284097333,22.16666667,2.253787875,74.6094276515353
188,1.594373281,0.3803973,18.85714286,8.146300909,118.2693192731824
189,1.702476733,0.212036375,20.16666667,9.908761545,116.61047774132575
190,1.005728067,0.2141725,13.83333333,2.668094,13.125525640767986
191,1.469373929,0.357760375,16.4,8.497451727,-21.065486116262495
192,2.089120423,0.306365625,15.25,7.720191091,-41.970542162528794
193,0.721921633,0.369119625,23.2,3.3111565,-35.649934685743546
194,1.428996733,0.229265625,24.33333333,4.9882415,-0.6842466717906541
195,2.839111667,0.175556625,27.83333333,2.902173917,2.014748029924281
196,1.046449333,0.2698055,16.78571429,3.482267364,16.30721419937536
197,0.721703633,0.1772125,22.23529412,4.345486667,60.54031304607419
198,0.538431143,0.2040915,30.5,3.879662667,49.55809841576313
199,1.599060033,0.232336625,15.75,5.037796455,104.76012293166642
200,1.9802252,0.249782667,17.0,8.176806,134.76
201,0.820018567,0.201805333,13.33333333,5.82066725,88.64841804451127
202,1.0554311,0.360296875,15.6,7.700505083,77.33912825818031
203,1.125863467,0.308151,19.2,9.792051833,27.357371583927485
