Date,pm10,CO,SO2,NO2
5/16/1993,23,0.642208733,4.622255024,13.76673463
5/17/1993,37,0.743400067,3.823795512,14.30519731
5/18/1993,42,0.736297767,4.679631425,14.04388688
5/19/1993,21.34782609,0.876701103,3.570740713,15.90939659
5/20/1993,28,0.855775383,4.423554438,14.63151106
5/21/1993,27,0.843161717,5.082364263,15.75266418
5/22/1993,21.5,0.698683633,5.428618,13.59856124
5/23/1993,31,0.602650983,4.89427955,12.02985265
5/24/1993,30,0.6227112,5.817964513,15.27984188
5/25/1993,32.59722222,0.595807933,5.253064808,13.84513712
5/26/1993,33,0.65554365,4.463756463,13.06227363
5/27/1993,32,0.722917305,5.274672175,14.00952294
5/28/1993,23.5,0.80272145,5.12116815,15.58536876
5/29/1993,15,0.641824914,4.506773697,11.16550518
5/30/1993,22,0.618423034,3.889741654,9.462691824
5/31/1993,14.01388889,0.569160033,3.080950385,9.053154235
6/1/1993,17,0.678352,3.877685925,11.29414638
6/2/1993,31,0.9866656,5.038243625,16.54154835
6/3/1993,19.5,0.8913814,5.107355462,17.01005547
6/4/1993,40,0.854553583,4.34863855,15.90661159
6/5/1993,32,0.803590224,3.205818,12.18511306
6/6/1993,16.22535211,0.782797569,3.561995026,11.42198412
6/7/1993,38,0.891277339,5.72423809,17.41779535
6/8/1993,33,0.789522172,5.836976603,15.33136453
6/9/1993,28,0.71475125,4.78945287,12.59028889
6/10/1993,23,0.628578967,5.224953077,12.21202642
6/11/1993,19.12189804,0.66473895,5.215744077,11.00439205
6/12/1993,19.44285714,0.6558243,5.162031461,9.717858474
6/13/1993,23,0.595763867,4.557193974,9.241542789
6/14/1993,22,0.72307915,4.315965208,12.75147832
6/15/1993,23.5,0.687877417,4.589944481,11.50121353
6/16/1993,18,0.720751883,3.740092975,11.66404426
6/17/1993,21,0.772166533,5.556451875,15.59970753
6/18/1993,30.84285714,0.763191383,5.96743515,13.94853056
6/19/1993,18,0.7155508,5.3207876,10.99261256
6/20/1993,14,0.642282867,3.22506891,8.103420647
6/21/1993,22,0.756883383,4.82104985,12.40772658
6/22/1993,24,0.68117745,4.315470321,10.021729
6/23/1993,31,0.707396383,5.479774877,11.73724556
6/24/1993,22.86111111,0.834579083,5.687309805,16.93916389
6/25/1993,14,0.7959491,4.830392634,14.04395505
6/26/1993,16,0.643536183,4.435706538,9.632170105
6/27/1993,17,0.772188897,3.895750838,10.64681542
6/28/1993,28,0.880834783,4.457803,15.03670868
